file_id,workspace_id,channel_id,message_id,uploader_id,purpose,file_name,mime,size_bytes,url,pinned,deleted,replaced_from,created_at,updated_at
f_9817dab8,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Begegnungen B1+.pdf",application/pdf,84263584,/uploads/1775332092795-d6de138f5a0191879b5960e3.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_1fcc2463,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,Einfach_schreiben_A2-B1.pdf,application/pdf,32493702,/uploads/1775332092927-a4473db22fe7073fc1b0dc96.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_22057911,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,Einfach_sprechen_A2-B1.pdf,application/pdf,40098714,/uploads/1775332092977-0f2513216d8f071f8dddff4a.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_36e32ff9,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Fokus Deutsch B1+.pdf",application/pdf,63126495,/uploads/1775332093062-da5510a093f741d93b0b4f36.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_cca79c64,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Grammatik Aktiv A1-B1.pdf",application/pdf,84522077,/uploads/1775332093177-efeefd25831e551a22a923d8.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_b14e402e,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Grammatik Aktiv B1+.pdf",application/pdf,21271250,/uploads/1775332093310-f30e27dd13a6474f1b5b089a.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_8f121779,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Grammatik Netzwerk Neu A1-B1.pdf",application/pdf,26227908,/uploads/1775332093360-f4d326080de1d373f04b6e34.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_c73fe92c,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Kompass DaF B1+.pdf",application/pdf,31995730,/uploads/1775332093428-8d34007e12325205e7f348e9.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_e763ac08,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Kontext B1+ Kursbuch.pdf",application/pdf,20325820,/uploads/1775332093478-8b15e01dfac51044a5df0e6a.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
f_d3e37cc7,sprachschule-duisburg,learning-materials,m3k4md9xu,uyshv0srx,material,"Linie Neu B1.1.pdf",application/pdf,29445578,/uploads/1775332093524-1c495675444278b263439b4d.pdf,0,0,,"2026-04-04 19:48:14","2026-04-04 19:48:14"
