id,workspace_id,class_channel_id,title,description,resource_url,due_date,is_archived,created_by,created_at,is_locked
hwi6tupkbkj,sprachschule-duisburg,a1-nood,"New Assignment","",,2026-03-25T22:51:00.000Z,0,uyshv0srx,"2026-03-25 22:52:01",0
hwi5y1jzho2,sprachschule-duisburg,a1-nood,"New Assignment","",,2026-03-26T12:53:00.000Z,0,uyshv0srx,"2026-03-26 12:53:56",0
